trial_number,trial_outcome,target_index,reaction_time,movement_time,trial_duration,endpoint_error,max_speed,mean_speed,peak_speed_time,speed_variability,path_length,straight_distance,path_efficiency,total_curvature
75,lose,2,0.421313,4.017251,4.438564,0.6381570885654828,0.838389197760164,0.16387286693458397,1.786921025,0.20947570219373557,0.7290427707173897,1.0,1.371661636553894,25.22533561551772
76,win,2,0.103779,1.449811,1.553591,0.614631470351599,0.745819091796875,0.35333935632357283,0.543119193,0.25329001425064684,0.5566013225070383,1.0,1.796618081135362,10.47772049259116
77,win,4,0.079695,3.8350109999999997,3.914707,0.6293225161387169,0.6226810065700215,0.16554142448922912,0.393038988,0.16961359077443638,0.6506397325574522,1.0,1.5369488673391136,21.19263181363073
78,win,0,0.18068,2.373689,2.55437,0.5998489274024064,0.9112003103115581,0.325942773146197,1.068267345,0.2668771265220837,0.8435792754593382,1.0,1.1854250443213994,14.401503699730544
79,win,4,0.232421,2.563616,2.7960380000000002,0.6155658679824163,0.652008056640625,0.14766219824043159,1.655534982,0.1971124534056741,0.4165477413459213,1.0,2.4006852054193515,18.44380237744157
80,win,2,0.129333,2.44009,2.569423,0.6162116674360836,0.829651175820028,0.26623385232069174,1.142904043,0.2522081200666878,0.6913133600378809,1.0,1.446522022871371,20.05297669896961
81,lose,0,0.079298,4.008586,4.087885,0.6124693572459621,0.7573409087889438,0.2120763010247183,0.599837065,0.23029980816502296,0.8688656738495888,1.0,1.1509258911903018,28.536073640843753
82,win,0,0.026606,3.068095,3.094702,0.6352383554968889,1.0259192539144364,0.32475140134093256,0.521929026,0.2848603978339034,1.0129287387944936,1.0,0.9872362800073375,23.400257185916214
83,win,1,0.209045,1.406172,1.615217,0.6187920699065131,0.8878758407432644,0.304811212214771,0.700229884,0.3044815249765246,0.4984660534745996,1.0,2.0061546679646804,17.360181534435682
84,win,7,0.313116,1.8543690000000002,2.167485,0.5910115162713558,0.9854064837254564,0.32962406717247583,1.12272191,0.32334609430817973,0.722853414056007,1.0,1.3834063456778798,12.639475691317761
85,win,7,0.102827,2.384305,2.487132,0.6097209505842628,0.9516100070240919,0.2592635959985776,0.598206044,0.2410384747765969,0.6545994241829769,1.0,1.5276518173662113,18.94346211838041
86,win,4,227.220586,1.422436,228.643023,0.6221524768826787,0.7281940513672114,0.0018257206851261983,227.452413082,0.03208556722747948,0.4167481930711837,1.0,2.3995304997739786,12.967076143622231
87,win,7,1.244385,2.536294,3.780679,0.6035290055289768,0.8608602834039498,0.18680149554884776,2.079851866,0.2660174720998227,0.7109867351236764,1.0,1.4064960014001522,13.89009835410021
88,win,6,1.368071,1.420861,2.788932,0.6077188090134851,1.0190796217200933,0.17133089754991812,1.857880116,0.2548522061541076,0.4822389806729859,1.0,2.07366065390329,8.280851058826173
89,win,1,1.031563,1.120797,2.152361,0.6183469203521459,0.7305849570642198,0.1788471136662199,1.603384017,0.2375602392038427,0.3893803098130878,1.0,2.5681832768586186,3.7509613428916277
90,win,2,0.051492,2.524404,2.575897,0.6056437945269497,0.9557885748431469,0.2607773458620328,1.795836926,0.2531724060594828,0.6791803085365054,1.0,1.4723630638744452,15.628146291602405
91,win,4,0.856212,1.112818,1.969031,0.6049127455169229,0.763427734375,0.19975875970038434,1.141435146,0.25973669838711533,0.39781038516240164,1.0,2.5137604177723043,4.6034668255541185
92,win,6,0.130036,1.656574,1.78661,0.6223070153044141,1.0868901222690852,0.2654388860123712,0.386916161,0.31104564467245643,0.47971610084305116,1.0,2.0845662637601783,16.246186222160468
93,win,0,0.133877,2.016893,2.15077,0.618888949916811,0.7314445160732849,0.24261659104486077,1.373831033,0.19522663390396328,0.5272455487887082,1.0,1.8966494876958107,14.736707945211064
94,win,7,1.195021,3.223693,4.418715,0.6098170379249946,0.581396974195122,0.13435327644100323,1.691609144,0.17122198305541264,0.5998721332462114,1.0,1.6670219278040046,19.991903969100147
95,win,3,1.162286,1.929541,3.091827,0.6170296906876593,0.5011323924430474,0.15485644872353196,1.60546112,0.17249166146775882,0.4841400568424921,1.0,2.065517996015222,10.110352755382614
96,win,1,0.104435,1.950891,2.055326,0.6201560904127288,0.6023011201463044,0.2588067089052295,1.070091963,0.19227929512419192,0.5391431605854828,1.0,1.8547949285196337,15.746695762030333
97,win,1,0.025443,2.646965,2.672409,0.6181365442822312,0.6900369378248038,0.2687037129328073,0.878515005,0.18936516733554126,0.7247676609390276,1.0,1.3797525109003543,14.607975263952756
98,win,5,0.10276,1.691636,1.7943959999999999,0.6205808410435776,0.8584416159445051,0.2582809483480006,0.467905045,0.22113680899881474,0.47089816023181247,1.0,2.1236014162971517,21.730874407987134
99,win,6,0.054279,2.170146,2.224426,0.6006099621217139,0.986792423479708,0.36775720002518975,0.336791754,0.3043292044148555,0.8259776601620469,1.0,1.21068649702198,12.126224857075044
100,win,6,0.105151,2.036442,2.141594,0.6062147921531411,1.0581048112558278,0.422182574315139,0.544499159,0.33297560510352936,0.9176834104872736,1.0,1.0897004223591855,15.236416799385744
101,win,0,0.102807,1.45085,1.5536569999999998,0.5878370591862525,0.6798342239477,0.40968594253420404,0.544156074,0.2364257579763515,0.647827366856101,1.0,1.543621111366426,11.858334556490899
102,win,1,0.43575,2.475732,2.911483,0.6251878508359708,0.6157540578798477,0.18978988745979478,0.490496158,0.19775275221419625,0.5577491871154157,1.0,1.7929205870685903,17.185756104013713
103,win,0,0.079144,1.866973,1.946118,0.6045166885940974,0.7653823256288443,0.2559171335287845,0.653856993,0.24401803499536437,0.5045383268694522,1.0,1.9820099816891552,15.497281524516609
104,win,0,0.155113,2.9821,3.137213,0.6112129450305628,1.0567898715414556,0.26087657987520374,0.697876931,0.28248456147976597,0.8265353878523769,1.0,1.2098695527100707,26.08126229891431
105,win,0,0.236848,2.262863,2.499711,0.6208426343335108,0.7296125530997176,0.24343478656649037,0.831794023,0.2196183207510972,0.6120229394684789,1.0,1.6339256840086192,14.012131987459679
106,lose,7,0.025388,4.009132,4.03452,0.9980198382332869,0.11041259765625,0.0007032649532245223,0.025388002,0.008783776450461791,0.00280315525012207,1.0,356.74085477657815,1.5707963267948966
107,win,7,21.858358,2.877613,24.735971,0.6592495709198887,1.28285829346752,0.06752477526147733,22.091809988,0.2244227894819755,1.6716007799825467,1.0,0.5982289623066824,24.57304454739959
108,win,5,0.415431,1.6627800000000001,2.078212,0.6217043574155762,0.7713818282771491,0.22070077938970886,1.061491966,0.2469213205127336,0.46312173404889073,1.0,2.159259491575561,30.94304980524832
109,win,7,0.103274,1.331874,1.4351479999999999,0.6304453679906441,0.8805646138862034,0.3034751391672194,0.762356043,0.2684753492709202,0.44528118893646834,1.0,2.245771941070427,11.802500880572035
110,win,3,0.180245,1.34389,1.524135,0.6097747175224723,0.6544021443475072,0.3211684035348846,0.464262724,0.21963245610402074,0.4984876851750878,1.0,2.0060676115775298,10.384504686544322
111,win,3,0.364083,1.189891,1.553974,0.59994013024349,0.6317491457021588,0.27532803215570917,0.753567219,0.2445603396653271,0.43428155203460866,1.0,2.3026536478811983,2.903387307126452
112,win,5,0.364693,2.056169,2.4208629999999998,0.598431354731749,0.6342468526029194,0.2008638543750734,0.98910594,0.2100414411972977,0.4906897709200162,1.0,2.0379475164625,27.14086115246952
113,win,6,0.155388,1.601834,1.757222,0.603619492142799,1.078581313475035,0.3017914928860396,0.725283146,0.28467849550894236,0.5387617619535694,1.0,1.8561079694556724,13.784937349822542
114,win,3,0.440225,1.2700529999999999,1.7102789999999999,0.615063265230725,0.7729721939470161,0.25134156286411224,0.854682922,0.27686271522755107,0.4367993384055396,1.0,2.289380756963431,5.459201615073867
115,win,1,0.230926,2.318485,2.549411,0.6194037647547554,0.7658249541630621,0.1759409433810493,1.11768508,0.2189303621299921,0.4513313737926582,1.0,2.215666931365158,16.101787168230317
116,win,6,0.336919,2.373185,2.710104,0.6202227422708325,0.87091064453125,0.2017130697373423,0.785058976,0.24727695535320546,0.5547979875425096,1.0,1.8024578719716033,27.129215054292477
